5.1,3.5,1.4,0.2,Персидский
4.9,3.0,1.4,0.2,Персидский
4.7,3.2,1.3,0.2,Персидский
4.6,3.1,1.5,0.2,Персидский
5.0,3.6,1.4,0.2,Персидский
5.4,3.9,1.7,0.4,Персидский
4.6,3.4,1.4,0.3,Персидский
5.0,3.4,1.5,0.2,Персидский
4.4,2.9,1.4,0.2,Персидский
4.9,3.1,1.5,0.1,Персидский
5.4,3.7,1.5,0.2,Персидский
4.8,3.4,1.6,0.2,Персидский
4.8,3.0,1.4,0.1,Персидский
4.3,3.0,1.1,0.1,Персидский
5.8,4.0,1.2,0.2,Персидский
5.7,4.4,1.5,0.4,Персидский
5.4,3.9,1.3,0.4,Персидский
5.1,3.5,1.4,0.3,Персидский
5.7,3.8,1.7,0.3,Персидский
5.1,3.8,1.5,0.3,Персидский
5.4,3.4,1.7,0.2,Персидский
5.1,3.7,1.5,0.4,Персидский
4.6,3.6,1.0,0.2,Персидский
5.1,3.3,1.7,0.5,Персидский
4.8,3.4,1.9,0.2,Персидский
5.0,3.0,1.6,0.2,Персидский
5.0,3.4,1.6,0.4,Персидский
5.2,3.5,1.5,0.2,Персидский
5.2,3.4,1.4,0.2,Персидский
4.7,3.2,1.6,0.2,Персидский
4.8,3.1,1.6,0.2,Персидский
5.4,3.4,1.5,0.4,Персидский
5.2,4.1,1.5,0.1,Персидский
5.5,4.2,1.4,0.2,Персидский
4.9,3.1,1.5,0.1,Персидский
5.0,3.2,1.2,0.2,Персидский
5.5,3.5,1.3,0.2,Персидский
4.9,3.1,1.5,0.1,Персидский
4.4,3.0,1.3,0.2,Персидский
5.1,3.4,1.5,0.2,Персидский
5.0,3.5,1.3,0.3,Персидский
5.0,3.3,1.4,0.2,Персидский
5.0,3.5,1.6,0.6,Персидский
4.9,2.5,4.5,1.7,Шотландская
7.3,2.9,6.3,1.8,Шотландская
6.7,2.5,5.8,1.8,Шотландская
7.2,3.6,6.1,2.5,Шотландская
6.5,3.2,5.1,2.0,Шотландская
6.4,2.7,5.3,1.9,Шотландская
6.8,3.0,5.5,2.1,Шотландская
5.7,2.5,5.0,2.0,Шотландская
5.8,2.8,5.1,2.4,Шотландская
6.4,3.2,5.3,2.3,Шотландская
6.5,3.0,5.5,1.8,Шотландская
7.7,3.8,6.7,2.2,Шотландская
7.7,2.6,6.9,2.3,Шотландская
6.0,2.2,5.0,1.5,Шотландская
6.9,3.2,5.7,2.3,Шотландская
5.6,2.8,4.9,2.0,Шотландская
7.7,2.8,6.7,2.0,Шотландская
6.3,2.7,4.9,1.8,Шотландская
6.7,3.3,5.7,2.1,Шотландская
7.2,3.2,6.0,1.8,Шотландская
6.2,2.8,4.8,1.8,Шотландская
6.1,3.0,4.9,1.8,Шотландская
6.4,2.8,5.6,2.1,Шотландская
7.2,3.0,5.8,1.6,Шотландская
7.4,2.8,6.1,1.9,Шотландская
7.9,3.8,6.4,2.0,Шотландская
6.4,2.8,5.6,2.2,Шотландская
6.3,2.8,5.1,1.5,Шотландская
6.1,2.6,5.6,1.4,Шотландская
7.7,3.0,6.1,2.3,Шотландская
6.3,3.4,5.6,2.4,Шотландская
6.4,3.1,5.5,1.8,Шотландская
6.0,3.0,4.8,1.8,Шотландская
6.9,3.1,5.4,2.1,Шотландская
6.7,3.1,5.6,2.4,Шотландская
6.9,3.1,5.1,2.3,Шотландская
5.8,2.7,5.1,1.9,Шотландская
6.8,3.2,5.9,2.3,Шотландская
6.7,3.3,5.7,2.5,Шотландская
6.7,3.0,5.2,2.3,Шотландская
